project,_id,key,issuetype_name,priority_name,status_name,age_days,watch_count,votes_count,has_assignee,components_count,comment_count,status_changes_count
FLINK,13587408,FLINK-35937,Improvement,Minor,Open,14,1,0,0,1,0,0
FLINK,13587434,FLINK-35938,Bug,Critical,Resolved,18,2,0,1,1,1,1
FLINK,13587435,FLINK-35939,Improvement,Minor,Closed,32,1,0,1,0,1,2
FLINK,13587466,FLINK-35940,Improvement,Minor,Open,0,1,0,0,1,0,0
FLINK,13587491,FLINK-35941,Sub-task,Major,Closed,32,1,0,1,1,1,1
FLINK,13587492,FLINK-35942,Sub-task,Major,Closed,32,1,0,1,1,1,1
FLINK,13587495,FLINK-35943,Sub-task,Major,Closed,32,1,0,1,1,1,1
FLINK,13587496,FLINK-35944,Sub-task,Major,Closed,32,1,0,1,0,1,1
FLINK,13587508,FLINK-35945,Improvement,Minor,Open,0,1,0,0,1,0,0
FLINK,13587525,FLINK-35946,New Feature,Major,Resolved,3,1,0,1,0,0,1
FLINK,13587526,FLINK-35947,Sub-task,Major,Resolved,0,1,0,1,0,1,1
FLINK,13587527,FLINK-35948,Sub-task,Major,Resolved,0,1,0,1,0,0,1
FLINK,13587528,FLINK-35949,Sub-task,Major,Resolved,0,1,0,1,0,0,1
